concept_id,concept_code,concept_name,body_system,progressive,icd
44819636,369.74,One eye: moderate vision impairment; other eye: vision not specified,ophthalmological,no,9
44819637,369.76,One eye: moderate vision impairment; other eye: normal vision,ophthalmological,no,9
44824616,780.01,Coma,neurological,yes,9
44821857,348.1,Anoxic brain damage,neurological,yes,9
44820533,14,"Tuberculosis of intestines, peritoneum, and mesenteric glands",pulmonary/respiratory,no,9
44819422,147,Malignant neoplasm of nasopharynx,malignancy,no,9
44819425,163,Malignant neoplasm of pleura,malignancy,no,9
44819434,174,Malignant neoplasm of female breast,malignancy,no,9
44819441,194,Malignant neoplasm of other endocrine glands and related structures,malignancy,no,9
44819442,197,Secondary malignant neoplasm of respiratory and digestive systems,malignancy,no,9
44822863,135,Sarcoidosis,immunological,no,9
44822869,153,Malignant neoplasm of colon,malignancy,no,9
44825736,736.06,Claw hand (acquired),musculoskeletal,no,9
44825753,746.9,Unspecified congenital anomaly of heart,cardiac,no,9
44825754,747.1,Coarctation of aorta,cardiac,no,9
44825757,747.81,Anomalies of cerebrovascular system,cardiac,no,9
44825758,748.61,Congenital bronchiectasis,pulmonary/respiratory,no,9
44825759,751.3,Hirschsprung's disease and other congenital functional disorders of colon,gastrointestinal,no,9
44825762,755.54,Madelung's deformity,musculoskeletal,no,9
44825764,756.2,Cervical rib,musculoskeletal,no,9
44825765,756.3,Other anomalies of ribs and sternum,musculoskeletal,no,9
44825770,758.9,Conditions due to anomaly of unspecified chromosome,genetic,no,9
44824945,V08,Asymptomatic human immunodeficiency virus [HIV] infection status,immunological,yes,9
44824248,427.3,Atrial fibrillation and flutter,cardiac,no,9
44824250,428,Heart failure,cardiac,yes,9
44821546,V42.0,Kidney replaced by transplant,renal,yes,9
44821547,V42.1,Heart replaced by transplant,cardiac,yes,9
44821549,V42.7,Liver replaced by transplant,gastrointestinal,yes,9
44826726,571,Chronic liver disease and cirrhosis,gastrointestinal,yes,9
44826733,593.72,"Vesicoureteral reflux with reflux nephropathy, bilateral",renal,no,9
44826734,596.52,Low bladder compliance,renal,no,9
44826736,599.83,Urethral instability,renal,no,9
44826748,617,Endometriosis,genitourinary,no,9
44826754,622.1,Dysplasia of cervix (uteri),genitourinary,no,9
44824274,457.1,Other lymphedema,cardiac,no,9
44824309,527.7,Disturbance of salivary secretion,gastrointestinal,no,9
44821577,V55.4,Attention to other artificial opening of digestive tract,gastrointestinal,no,9
44821578,V56.8,Encounter for other dialysis,renal,yes,9
44827619,253.8,Other disorders of the pituitary and other syndromes of diencephalohypophyseal origin,endocrinological,no,9
44827628,268.1,"Rickets, late effect",metabolic,no,9
44827658,297.1,Delusional disorder,mental health,no,9
44827659,299,Autistic disorder,mental health,no,9
44827662,301.6,Dependent personality disorder,mental health,no,9
44823110,402.11,Benign hypertensive heart disease with heart failure,cardiac,yes,9
44823132,453.77,Chronic venous embolism and thrombosis of other thoracic veins,cardiac,no,9
44823145,501,Asbestosis,pulmonary/respiratory,no,9
44823149,519.4,Disorders of diaphragm,pulmonary/respiratory,no,9
44827673,312.1,"Undersocialized conduct disorder, unaggressive type",mental health,no,9
44827677,315.5,Mixed development disorder,mental health,no,9
44827678,319,Unspecified intellectual disabilities,mental health,no,9
44824056,209.3,Malignant poorly differentiated neuroendocrine tumors,malignancy,no,9
44824075,253.4,Other anterior pituitary disorders,endocrinological,no,9
44824077,258,Polyglandular dysfunction and related disorders,endocrinological,no,9
44824079,264,Vitamin A deficiency,metabolic,no,9
44828631,11,Pulmonary tuberculosis,pulmonary/respiratory,no,9
44823325,701,Circumscribed scleroderma,dermatological,no,9
44823327,705,Anhidrosis,dermatological,no,9
44823357,718.3,Recurrent dislocation of joint,musculoskeletal,no,9
44824516,721,Spondylosis and allied disorders,immunological,no,9
44824518,722.7,Intervertebral disc disorder with myelopathy,musculoskeletal,no,9
44824527,728.1,Muscular calcification and ossification,musculoskeletal,no,9
44824536,733,Osteoporosis,musculoskeletal,no,9
44824540,733.3,Hyperostosis of skull,musculoskeletal,no,9
44823384,736.75,"Cavovarus deformity of foot, acquired",musculoskeletal,no,9
44823385,737.9,Unspecified curvature of spine,musculoskeletal,no,9
44823386,740.2,Iniencephaly,neurological,yes,9
44824313,531,Gastric ulcer,gastrointestinal,no,9
44824325,562,Diverticula of intestine,gastrointestinal,no,9
44824333,569.81,"Fistula of intestine, excluding rectum and anus",gastrointestinal,no,9
44824336,573.9,Unspecified disorder of liver,gastrointestinal,no,9
44824338,579.2,Blind loop syndrome,gastrointestinal,no,9
44824342,588,Renal osteodystrophy,musculoskeletal,yes,9
44824350,599.1,Urethral fistula,renal,no,9
44824351,599.5,Prolapsed urethral mucosa,renal,no,9
44827686,327.26,Sleep related hypoventilation/hypoxemia in conditions classifiable elsewhere,pulmonary/respiratory,no,9
44827696,344.09,Other quadriplegia,neurological,no,9
44822225,728.6,Contracture of palmar fascia,musculoskeletal,no,9
44823189,575.11,Chronic cholecystitis,gastrointestinal,no,9
44823191,583,"Nephritis and nephropathy, not specified as acute or chronic",renal,yes,9
44823192,588.1,Nephrogenic diabetes insipidus,renal,no,9
44823194,596,Bladder neck obstruction,renal,no,9
44823196,599.2,Urethral diverticulum,renal,no,9
44827704,351,Facial nerve disorders,neurological,no,9
44827706,355,Mononeuritis of lower limb,neurological,no,9
44827715,362.56,Macular puckering,ophthalmological,no,9
44827716,362.63,Lattice degeneration,ophthalmological,no,9
44827720,364.2,Certain types of iridocyclitis,ophthalmological,no,9
44823214,629.22,Female genital mutilation Type II status,genitourinary,no,9
44823568,887,Traumatic amputation of arm and hand (complete) (partial),musculoskeletal,no,9
44822047,596.51,Hypertonicity of bladder,renal,no,9
44822943,260,Kwashiorkor,metabolic,no,9
44822954,279,Disorders involving the immune mechanism,immunological,yes,9
44822956,282.4,Thalassemias,hematological,yes,9
44822959,286,Congenital factor VIII disorder,hematological,yes,9
44822961,288.02,Cyclic neutropenia,immunological,no,9
44822985,300.3,Obsessive-compulsive disorders,mental health,no,9
44824107,291.1,Alcohol-induced persisting amnestic disorder,mental health,no,9
44824110,295.4,Schizophreniform disorder,mental health,yes,9
44824120,300.1,"Dissociative, conversion and factitious disorders",mental health,no,9
44824131,304.9,Unspecified drug dependence,mental health,no,9
44824140,315.1,Mathematics disorder,mental health,no,9
44824141,315.31,Expressive language disorder,mental health,no,9
44824142,315.8,Other specified delays in development,mental health,no,9
44824143,318.1,Severe intellectual disabilities,mental health,no,9
44824148,326,Late effects of intracranial abscess or pyogenic infection,neurological,yes,9
44823392,743.66,Specified congenital anomalies of orbit,otologic,no,9
44823394,745.3,Common ventricle,cardiac,yes,9
44823395,746.7,Hypoplastic left heart syndrome,cardiac,yes,9
44823400,750.2,Other specified congenital anomalies of mouth and pharynx,gastrointestinal,no,9
44823402,752.62,Epispadias,genitourinary,no,9
44823405,753.7,Anomalies of urachus,genitourinary,no,9
44823406,754.35,Congenital dislocation of one hip with subluxation of other hip,musculoskeletal,no,9
44823410,755.53,Radioulnar synostosis,musculoskeletal,no,9
44824557,746,Other congenital anomalies of heart,cardiac,no,9
44824560,747.21,Anomalies of aortic arch,cardiac,no,9
44824564,748.69,Other congenital anomalies of lung,pulmonary/respiratory,no,9
44824568,751.4,Anomalies of intestinal fixation,gastrointestinal,no,9
44824570,751.62,Congenital cystic disease of liver,gastrointestinal,yes,9
44824583,756.9,Other and unspecified anomalies of musculoskeletal system,musculoskeletal,no,9
44822996,312.2,Socialized conduct disorder,mental health,no,9
44823009,331.4,Obstructive hydrocephalus,neurological,no,9
44823443,780.51,"Insomnia with sleep apnea, unspecified",neurological,no,9
44823453,788.3,"Urinary incontinence, unspecified",genitourinary,no,9
44822234,731.1,Osteitis deformans in diseases classified elsewhere,musculoskeletal,no,9
44822240,738.6,Acquired deformity of pelvis,musculoskeletal,no,9
44822251,747.3,"Anomalies of pulmonary artery, congenital",cardiac,no,9
44822256,751.5,Other anomalies of intestine,gastrointestinal,no,9
44822261,755.2,"Reduction deformities of upper limb, congenital",musculoskeletal,no,9
44822266,756.83,Ehlers-Danlos syndrome,musculoskeletal,no,9
44822267,757.1,Ichthyosis congenita,dermatological,no,9
44825652,694,Bullous dermatoses,dermatological,no,9
44825662,710.8,Other specified diffuse diseases of connective tissue,immunological,yes,9
44825663,710.9,Unspecified diffuse connective tissue disease,immunological,yes,9
44825676,714,Rheumatoid arthritis and other inflammatory polyarthropathies,immunological,no,9
44825714,728.3,Other specific muscle disorders,musculoskeletal,yes,9
44826654,443,Other peripheral vascular disease,cardiac,no,9
44826656,446.3,Lethal midline granuloma,immunological,yes,9
44824170,356,Hereditary and idiopathic peripheral neuropathy,neurological,no,9
44824175,362.57,Drusen (degenerative),ophthalmological,no,9
44824182,364.5,Degenerations of iris and ciliary body,ophthalmological,no,9
44826680,494.1,Bronchiectasis with acute exacerbation,pulmonary/respiratory,yes,9
44826700,530.5,Dyskinesia of esophagus,gastrointestinal,no,9
44827551,152,"Malignant neoplasm of small intestine, including duodenum",malignancy,no,9
44827557,165,Malignant neoplasm of other and ill-defined sites within the respiratory system and intrathoracic organs,malignancy,no,9
44823020,344,Other paralytic syndromes,neurological,no,9
44823031,353,Nerve root and plexus disorders,neurological,no,9
44823042,362.31,Central retinal artery occlusion,ophthalmological,no,9
44823043,362.5,"Macular degeneration (senile), unspecified",ophthalmological,no,9
44823044,362.73,Vitreoretinal dystrophies,ophthalmological,no,9
44824208,378.6,Mechanical strabismus,ophthalmological,no,9
44824213,379.6,Inflammation (infection) of postprocedural bleb,ophthalmological,no,9
44824235,404.93,"Hypertensive heart and chronic kidney disease, unspecified, with heart failure and chronic kidney disease stage V or end stage renal disease",renal,yes,9
44824239,416,Chronic pulmonary heart disease,cardiac,yes,9
44827582,203,Multiple myeloma and immunoproliferative neoplasms,malignancy,no,9
44827586,207,Other specified leukemia,malignancy,no,9
44827608,237.7,Neurofibromatosis,neurological,no,9
44822301,788.38,Overflow incontinence,genitourinary,no,9
44828541,V42.6,Lung replaced by transplant,pulmonary/respiratory,yes,9
44824020,140,Malignant neoplasm of lip,malignancy,no,9
44824027,173,Other and unspecified malignant neoplasm of skin,malignancy,no,9
44824032,187,Malignant neoplasm of penis and other male genital organs,malignancy,no,9
44824034,188,Malignant neoplasm of bladder,malignancy,no,9
44826893,722,Displacement of cervical intervertebral disc without myelopathy,musculoskeletal,no,9
44826894,722.3,Schmorl's nodes,musculoskeletal,no,9
44826908,731.2,Hypertrophic pulmonary osteoarthropathy,musculoskeletal,no,9
44826909,731.8,Other bone involvement in diseases classified elsewhere,musculoskeletal,no,9
44826917,736.81,Unequal leg length (acquired),musculoskeletal,no,9
44826918,737.3,Kyphoscoliosis and scoliosis,musculoskeletal,no,9
44826919,737.8,Other curvatures of spine,musculoskeletal,no,9
44826920,738.4,Acquired spondylolisthesis,musculoskeletal,no,9
44826923,743.2,Buphthalmos,otologic,no,9
44826924,743.63,Other specified congenital anomalies of eyelid,otologic,no,9
44826928,745.9,Unspecified defect of septal closure,cardiac,no,9
44826932,748,"Anomalies of respiratory system, congenital",pulmonary/respiratory,no,9
44826935,751.9,Unspecified anomaly of digestive system,gastrointestinal,no,9
44826937,752.61,Hypospadias,genitourinary,no,9
44826938,752.7,Indeterminate sex and pseudohermaphroditism,genitourinary,no,9
44826940,753.9,Unspecified anomaly of urinary system,genitourinary,no,9
44826941,754.32,"Congenital subluxation of hip, unilateral",musculoskeletal,no,9
44825199,161,Malignant neoplasm of larynx,malignancy,no,9
44825353,360.2,Degenerative disorders of globe,ophthalmological,no,9
44825354,360.3,Hypotony of eye,ophthalmological,no,9
44825359,362.3,"Retinal vascular occlusion, unspecified",ophthalmological,no,9
44825361,363,"Chorioretinal inflammations, scars, and other disorders of choroid",ophthalmological,no,9
44827863,536.2,Persistent vomiting,gastrointestinal,no,9
44826516,304.5,Hallucinogen dependence,mental health,no,9
44827886,577.2,Cyst and pseudocyst of pancreas,gastrointestinal,no,9
44828852,317,Mild intellectual disabilities,mental health,no,9
44828853,318.2,Profound intellectual disabilities,mental health,no,9
44828872,343,Infantile cerebral palsy,neurological,no,9
44826332,40.2,Whipple's disease,gastrointestinal,no,9
44826521,307.1,Anorexia nervosa,mental health,yes,9
44826530,315.4,Developmental coordination disorder,mental health,no,9
44828881,347,Cataplexy and narcolepsy,neurological,no,9
44828884,354,Mononeuritis of upper limb and mononeuritis multiplex,neurological,no,9
44828889,359.2,Myotonic disorders,musculoskeletal,yes,9
44828890,359.4,Toxic myopathy,musculoskeletal,no,9
44828897,362.32,Retinal arterial branch occlusion,ophthalmological,no,9
44828898,362.42,Serous detachment of retinal pigment epithelium,ophthalmological,no,9
44828900,362.52,Exudative senile macular degeneration,ophthalmological,no,9
44828901,362.72,Retinal dystrophy in other systemic disorders and syndromes,ophthalmological,no,9
44828909,364.7,Adhesions and disruptions of iris and ciliary body,ophthalmological,no,9
44828068,730.1,Chronic osteomyelitis,musculoskeletal,no,9
44828073,731.3,Major osseous defects,musculoskeletal,no,9
44828082,736.74,"Claw foot, acquired",musculoskeletal,no,9
44828087,740.1,Craniorachischisis,neurological,yes,9
44828094,745.1,Transposition of great vessels,cardiac,yes,9
44828098,747.29,Other anomalies of aorta,cardiac,no,9
44828100,748.5,"Agenesis, hypoplasia, and dysplasia of lung",pulmonary/respiratory,yes,9
44828103,751.6,"Unspecified anomaly of gallbladder, bile ducts, and liver",gastrointestinal,no,9
44828107,753.2,"Obstructive defects of renal pelvis and ureter, congenital",genitourinary,no,9
44827354,V42.83,Pancreas replaced by transplant,endocrinological,yes,9
44826551,341,Other demyelinating diseases of central nervous system,neurological,yes,9
44826553,344.01,"Quadriplegia, C1-C4, complete",neurological,no,9
44826573,362,Diabetic retinopathy,ophthalmological,no,9
44828119,757,Hereditary edema of legs,dermatological,no,9
44825213,192,Malignant neoplasm of other and unspecified parts of nervous system,malignancy,no,9
44825214,193,Malignant neoplasm of thyroid gland,malignancy,no,9
44825232,205,Myeloid leukemia,malignancy,no,9
44827548,149,"Malignant neoplasm of other and ill-defined sites within the lip, oral cavity, and pharynx",malignancy,no,9
44827899,607.85,Peyronie's disease,genitourinary,no,9
44827915,629.29,Other female genital mutilation status,genitourinary,no,9
44828926,369.66,One eye: near-total vision impairment; other eye: normal vision,ophthalmological,no,9
44825426,403.01,"Hypertensive chronic kidney disease, malignant, with chronic kidney disease stage V or end stage renal disease",renal,yes,9
44825450,442,Other aneurysm,cardiac,no,9
44825454,453.73,"Chronic venous embolism and thrombosis of upper extremity, unspecified",cardiac,no,9
44826578,365,Glaucoma,ophthalmological,no,9
44826584,369.1,"Moderate or severe vision impairment, better eye; profound vision impairment of lesser eye",ophthalmological,no,9
44828927,369.73,One eye: severe vision impairment; other eye: normal vision,ophthalmological,no,9
44828947,378.2,Intermittent heterotropia,ophthalmological,no,9
44828950,378.8,Other disorders of binocular eye movements,ophthalmological,no,9
44828971,403.91,"Hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage V or end stage renal disease",renal,yes,9
44828977,424,Other diseases of endocardium,cardiac,no,9
44826385,145,Malignant neoplasm of other and unspecified parts of mouth,malignancy,no,9
44826409,182,Malignant neoplasm of body of uterus,malignancy,no,9
44826411,189,Malignant neoplasm of kidney and other and unspecified urinary organs,malignancy,no,9
44826420,201,Hodgkin's disease,malignancy,no,9
44828699,79.53,"Human immunodeficiency virus, type 2 [HIV-2]",immunological,yes,9
44828705,94,Neurosyphilis,neurological,yes,9
44828706,95,"Other forms of late syphilis, with symptoms",neurological,yes,9
44828145,780.57,Unspecified sleep apnea,neurological,no,9
44828161,788.34,Incontinence without sensory awareness,genitourinary,no,9
44825266,253.1,Other and unspecified anterior pituitary hyperfunction,endocrinological,no,9
44825267,253.7,Iatrogenic pituitary disorders,endocrinological,no,9
44825274,277.87,Disorders of mitochondrial metabolism,metabolic,yes,9
44825278,283,Acquired hemolytic anemias,hematological,no,9
44825281,285.22,Anemia in neoplastic disease,hematological,no,9
44825287,292.1,Drug-induced psychotic disorders,mental health,no,9
44825306,304.6,Other specified drug dependence,mental health,no,9
44825310,307.23,Tourette's disorder,mental health,no,9
44825315,313.81,Oppositional defiant disorder,mental health,no,9
44825318,315.9,Unspecified delay in development,mental health,no,9
44825319,318,Moderate intellectual disabilities,mental health,no,9
44825323,327.23,Obstructive sleep apnea (adult)(pediatric),pulmonary/respiratory,no,9
44825331,337,Disorders of the autonomic nervous system,neurological,no,9
44825335,343.2,Congenital quadriplegia,neurological,yes,9
44827762,379.3,Aphakia and other disorders of lens,ophthalmological,no,9
44827780,404,Hypertensive heart and chronic kidney disease,renal,no,9
44827784,414,Other forms of chronic ischemic heart disease,cardiac,yes,9
44827796,428.9,"Heart failure, unspecified",cardiac,no,9
44827797,429.3,Cardiomegaly,cardiac,no,9
44827809,453.71,Chronic venous embolism and thrombosis of superficial veins of upper extremity,cardiac,no,9
44828784,242,Thyrotoxicosis with or without goiter,endocrinological,no,9
44828801,266,Deficiency of B-complex components,metabolic,no,9
44828803,270,Disorders of amino-acid transport and metabolism,metabolic,yes,9
44828805,275,Disorders of iron metabolism,metabolic,yes,9
44828811,277.5,Mucopolysaccharidosis,metabolic,yes,9
44828820,285.8,Other specified anemias,hematological,no,9
